task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
73	35/b653b0	418272	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_TRIM (validate-1658-R1.trim.fastq.gz)	COMPLETED	0	2025-09-30 13:25:25.461	1m 23s	1m 21s	107.1%	592 MB	36 GB	1.3 GB	8.4 KB
75	79/a7374b	422702	ORCL_PIPELINE:QC_REPORTS:FASTQC_TRIM (1658)	COMPLETED	0	2025-09-30 13:26:48.898	1m 24s	1m 22s	107.7%	748.9 MB	4.3 GB	692.5 MB	2 MB
63	83/1ea745	394634	ORCL_PIPELINE:GET_ORGANELLE:GETORGANELLE_RUN (671)	COMPLETED	0	2025-09-30 13:19:58.949	11m 56s	11m 54s	175.0%	2.5 GB	14.3 GB	33.5 GB	8.4 GB
76	15/005586	438716	ORCL_PIPELINE:QC_REPORTS:MULTIQC_FASTP (multiqc)	COMPLETED	0	2025-09-30 13:31:54.559	6.2s	4.8s	154.6%	230.3 MB	14 GB	57.1 MB	36 MB
59	76/d7f8ce	379944	ORCL_PIPELINE:GET_ORGANELLE:GETORGANELLE_RUN (3312)	COMPLETED	0	2025-09-30 13:14:43.578	17m 20s	17m 19s	183.8%	3.1 GB	16 GB	49.1 GB	13.3 GB
78	a1/fd5a1b	440425	ORCL_PIPELINE:QC_REPORTS:MULTIQC_RAW (multiqc)	COMPLETED	0	2025-09-30 13:32:04.005	8.7s	6.2s	137.5%	247 MB	14 GB	64 MB	28 MB
79	e8/708988	441794	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:MERGE_VALI_RES_TRIM (merge-sr-trim-validate-csv)	COMPLETED	0	2025-09-30 13:32:12.754	214ms	10ms	104.3%	0	0	120.2 KB	433 B
80	49/d890d4	441892	ORCL_PIPELINE:QC_REPORTS:MULTIQC_TRIM (multiqc)	COMPLETED	0	2025-09-30 13:32:12.985	8.8s	5.9s	138.8%	241.8 MB	14 GB	63.9 MB	26 MB
77	90/6d08e6	439790	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:FASTQ_STATS_SR_TRIM (sr-trim-seqkit-stats)	COMPLETED	0	2025-09-30 13:32:00.758	3m 11s	3m 9s	756.4%	279 MB	1.7 GB	13.3 GB	6.6 GB
39	e1/c714d5	304763	ORCL_PIPELINE:GET_ORGANELLE:GETORGANELLE_RUN (12240)	COMPLETED	0	2025-09-30 12:55:08.149	41m 12s	41m 10s	313.3%	5.7 GB	17.4 GB	63.1 GB	18.1 GB
67	2c/3ef1a3	403521	ORCL_PIPELINE:GET_ORGANELLE:GETORGANELLE_RUN (2759)	COMPLETED	0	2025-09-30 13:21:48.875	18m 52s	18m 50s	179.9%	3.5 GB	15.3 GB	50.4 GB	13.6 GB
72	93/cd6c19	426582	ORCL_PIPELINE:GET_ORGANELLE:GETORGANELLE_RUN (1658)	COMPLETED	0	2025-09-30 13:28:12.900	30m 58s	30m 56s	193.4%	4.3 GB	15.9 GB	104.7 GB	27.8 GB
